ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcnafsan,Nafsan,Papunesia,-17.7006,168.377,sout2856,,"Austronesian, Malayo-Polynesian, Oceanic, Vanuatu, Central","Vanuatu, Central Vanuatu, Efate",Efate
en,English,,,,stan1293,,,,
